Customer_ID,Age,Gender,Occupation,Income_Bracket,Family_Size,Marital_Status,Education_Level,Region,Monthly_Revenue,CLTV,Avg_Monthly_Data_Usage_GB,Avg_Call_Duration_Minutes,Monthly_Transactions,Churn_Status,Subscription_Type,Retention_Offers_Availed,Feedback_Score,Preferred_Product_Type,Peak_Usage_Time,Last_Interaction_Days,Number_of_Complaints,Payment_Method,Bill_Payment_Timeliness,Outstanding_Balance,Loyalty_Points,Campaign_Responses,Social_Media_Activity,Network_Complaints,Service_Downtime_Impact,Segment
CUST_00001,54,Female,Student,<$50K,2,Married,Bachelors,North,528.8300834024058,13605.810929818745,98.42876267373778,1.5451448142114428,23,No,Family Plan,0,8,Data-Only Plan,Morning,305,0,UPI,Late by >5 Days,482.1329869422247,997,6,High,2,Low,High=value
CUST_00002,22,Male,Student,$50K–$100K,3,Single,PhD,West,885.6103645352354,4812.421750185331,108.87115416951248,9.716470654373952,23,No,Family Plan,3,5,Voice-Data Plan,Afternoon,297,8,Debit Card,On Time,364.52259815692304,978,5,High,7,High,Mid-value
CUST_00003,41,Female,Professional,$50K–$100K,4,Divorced,PhD,West,449.301744818831,5634.858556501376,192.9185248380035,57.73356836175614,18,No,Family Plan,3,4,Data-Only Plan,Afternoon,343,6,UPI,On Time,181.32646941041136,587,4,Moderate,1,High,Mid-value
CUST_00004,39,Male,Retired,$50K–$100K,1,Divorced,Bachelors,West,106.4615951191601,11513.033798907174,29.876857572222185,24.665707457659344,26,No,Prepaid,4,4,Data-Only Plan,Night,56,6,Credit Card,On Time,266.8036300747926,146,3,Moderate,1,Low,Low-value
CUST_00005,59,Male,Student,$50K–$100K,5,Divorced,Masters,West,117.31706557835938,2129.671791752286,164.29171814275662,37.03530171637473,5,Yes,Postpaid,0,4,Data-Only Plan,Night,307,9,Net Banking,Late by >5 Days,449.8265985027421,106,2,High,1,Low,Mid-value
CUST_00006,35,Female,Unemployed,$50K–$100K,4,Divorced,Masters,North,206.9658714845945,8260.545389675059,178.67034210036377,18.686474290376108,47,No,Corporate Plan,0,1,Voice-Data Plan,Evening,104,8,Net Banking,Late by <5 Days,7.714676369755202,802,7,Low,2,Low,Mid-value
CUST_00007,63,Female,Unemployed,<$50K,5,Single,Bachelors,West,127.19288991617852,7668.376247790217,3.640039630618898,23.072181888834034,22,No,Family Plan,1,8,Voice Plan,Afternoon,240,9,Debit Card,On Time,289.37842333870003,88,0,Moderate,6,Low,Low-value
CUST_00008,18,Female,Student,<$50K,5,Divorced,PhD,East,907.4192476435438,17318.404225330316,20.650614156199303,16.591616139982815,25,No,Prepaid,0,7,Voice Plan,Evening,81,7,Credit Card,Late by <5 Days,447.9920059053605,934,3,High,4,Low,Low-value
CUST_00009,29,Male,Unemployed,>$100K,3,Married,Masters,West,915.289282261234,18926.522903447,115.50964263196312,47.12827954546199,13,Yes,Postpaid,0,1,Data-Only Plan,Afternoon,50,1,Debit Card,Late by <5 Days,291.15408150965675,370,3,High,5,Medium,Mid-value
CUST_00010,35,Male,Unemployed,<$50K,4,Married,High School,North,848.8637181126998,13505.445563198173,114.98628361565872,39.07286048449718,17,No,Family Plan,4,4,Data-Only Plan,Afternoon,286,9,UPI,Late by <5 Days,84.72867571295222,619,3,High,2,Medium,Mid-value
CUST_00011,42,Female,Professional,$50K–$100K,1,Divorced,PhD,West,311.997163495216,11518.306018740186,65.2949725223311,19.295224794096587,14,No,Postpaid,2,2,Data-Only Plan,Night,301,0,Credit Card,Late by >5 Days,166.53199514617828,968,1,Low,8,Low,Mid-value
CUST_00012,48,Male,Unemployed,$50K–$100K,1,Divorced,High School,North,500.81223592355366,13879.427482344894,79.63212220352675,26.43602939873019,44,No,Corporate Plan,0,1,Data-Only Plan,Night,233,9,Net Banking,On Time,337.861877943797,59,7,Moderate,2,Medium,Mid-value
CUST_00013,63,Female,Professional,$50K–$100K,5,Married,High School,East,966.9800241537826,19714.46091002624,160.0144166791028,36.40198130558572,49,No,Postpaid,2,5,Voice Plan,Night,212,4,Net Banking,Late by >5 Days,268.41398453401024,379,8,Moderate,4,Medium,High=value
CUST_00014,25,Female,Unemployed,>$100K,3,Married,Bachelors,West,168.55688856230026,13300.645111648986,8.603304861031962,17.809973541961767,7,No,Postpaid,3,6,Data-Only Plan,Morning,304,7,Credit Card,Late by <5 Days,303.5731208981342,98,6,Low,5,Medium,Low-value
